15,122,43087,0,0,0,0,0,0,99.757
15,0,0,0,0,0,0,0,0,99.763
6,122,43087,0,0,0,0,0,0,99.766
6,5,0,0,0,0,0,0,0,99.773
6,122,43087,0,0,0,0,0,0,99.776
6,6,2,0,0,0,0,0,0,99.783
0,122,43087,0,0,0,0,0,0,99.786
0,10,0,0,0,0,0,0,0,99.792
9,122,43087,0,0,0,0,0,0,99.796
9,0,18,0,0,0,0,0,0,99.802
3,122,43087,0,0,0,0,0,0,99.806
3,14,6,0,0,0,0,0,0,99.812
1,122,43087,0,0,0,0,0,0,99.816
1,11,18,0,0,0,0,0,0,99.822
13,122,43087,0,0,0,0,0,0,99.826
13,0,0,0,0,0,0,0,0,99.832
10,122,43087,0,0,0,0,0,0,99.836
10,3,13,0,0,0,0,0,0,99.842
4,122,43087,0,0,0,0,0,0,99.846
4,0,7,0,0,0,0,0,0,99.852
12,122,43087,0,0,0,0,0,0,99.856
12,3,13,0,0,0,0,0,0,99.862
5,122,43087,0,0,0,0,0,0,99.865
5,8,4,0,0,0,0,0,0,99.872
0,122,43087,0,0,0,0,0,0,99.875
0,7,10,0,0,0,0,0,0,99.881
10,122,43087,0,0,0,0,0,0,99.885
10,0,8,0,0,0,0,0,0,99.891
0,122,43087,0,0,0,0,0,0,99.895
0,2,22,0,0,0,0,0,0,99.901
0,122,43087,0,0,0,0,0,0,99.905
0,9,0,0,0,0,0,0,0,99.911
4,122,43087,0,0,0,0,0,0,99.915
4,1,0,0,0,0,0,0,0,99.921
7,122,43087,0,0,0,0,0,0,99.925
7,11,12,0,0,0,0,0,0,99.931
12,122,43087,0,0,0,0,0,0,99.935
12,8,10,0,0,0,0,0,0,99.941
6,122,43087,0,0,0,0,0,0,99.945
6,0,2,0,0,0,0,0,0,99.951
11,122,43087,0,0,0,0,0,0,99.954
11,12,0,0,0,0,0,0,0,99.961
0,122,43087,0,0,0,0,0,0,99.964
0,11,8,0,0,0,0,0,0,99.97
11,122,43087,0,0,0,0,0,0,99.974
11,0,6,0,0,0,0,0,0,99.98
7,122,43087,0,0,0,0,0,0,99.984
7,14,0,0,0,0,0,0,0,99.99
7,122,43087,0,0,0,0,0,0,99.994
7,14,0,0,0,0,0,0,0,100
