8.70468e+01,9.03383e+01,7.89432e+01,8.15539e+01
7.35673e+01,7.34628e+01,6.61654e+01,7.18964e+01
7.53049e+01,6.69298e+01,6.33960e+01,6.70593e+01
5.73141e+01,7.37135e+01,6.62657e+01,5.92231e+01
8.83709e+01,8.71721e+01,7.99958e+01,7.95739e+01
7.69758e+01,7.50209e+01,6.97536e+01,6.86508e+01
7.70718e+01,7.19549e+01,6.69591e+01,7.02632e+01
6.47703e+01,7.42314e+01,6.55723e+01,6.28822e+01
8.75647e+01,8.86800e+01,7.86341e+01,8.21178e+01
7.36341e+01,7.40184e+01,6.56516e+01,7.20134e+01
7.64119e+01,6.80827e+01,6.45489e+01,6.67502e+01
5.73141e+01,7.39056e+01,6.62907e+01,5.83333e+01
8.93066e+01,9.28237e+01,8.15497e+01,8.39683e+01
7.80284e+01,7.78613e+01,7.10443e+01,7.41562e+01
7.71303e+01,7.23517e+01,6.82540e+01,7.05639e+01
6.18421e+01,7.57519e+01,6.74603e+01,6.13158e+01
