1.341380602836039325e+05,1.388888726370123372e+01,4.636369336533243768e+01,1.341380609846676525e+05,1.186056463338318245e+01,1.421416361203004199e+05,1.531201606378032309e+01,5.093993676424724981e+01,1.421416369244152156e+05,1.308181432785277210e+01,2.820342052803179831e+04,9.757357580498844385e+00,6.138390188263656455e+01,2.820342217368101046e+04,8.280722785665057373e+00
1.341490544041783432e+05,1.181906410223064263e+01,3.946231350253219716e+01,1.341490549118152412e+05,1.009072805736213851e+01,1.421535609191196854e+05,1.265265390138779367e+01,4.211405358414049260e+01,1.421535614681295410e+05,1.079907793276070116e+01,2.820921152528968378e+04,1.720735390147611454e+01,6.092712796376508777e+01,2.820921664224725100e+04,1.465009995217806171e+01
1.341583708706902398e+05,9.970025898435636691e+00,3.327567924716277048e+01,1.341583712318915932e+05,8.511079463520582422e+00,1.421632903883557883e+05,1.016540916819281826e+01,3.384292225862736814e+01,1.421632907427094469e+05,8.667628123332542955e+00,2.822634516423991226e+04,2.653712944576940913e+01,8.356360253492312040e+01,2.822635732687744166e+04,2.290692736733753776e+01
1.341661847214565496e+05,8.315034942418506603e+00,2.773383863712660968e+01,1.341661849726797082e+05,7.096881580132321510e+00,1.421709932297119522e+05,7.905085466937256555e+00,2.632230559102026746e+01,1.421709934439895442e+05,6.735321553137327832e+00,2.825039426448302038e+04,3.174089626755441174e+01,1.024963704717702058e+02,2.825041165002942580e+04,2.735981179897598992e+01
1.341726501944637275e+05,6.825061527171735420e+00,2.275082171865506098e+01,1.341726503637118149e+05,5.822385293879778878e+00,1.421768787431546370e+05,5.908458222991056275e+00,1.967820976462098770e+01,1.421768788628545590e+05,5.026387329198041876e+00,2.827751647622451856e+04,3.306317286014026280e+01,1.078330253621388692e+02,2.827753532235816601e+04,2.845574748519438657e+01
1.341779024907306302e+05,5.482202883976347252e+00,1.826577503309817985e+01,1.341779025999259029e+05,4.673529636921739616e+00,1.421811826308861782e+05,4.200394582899836138e+00,1.399111943558091298e+01,1.421811826913802070e+05,3.562681315076042576e+00,2.830462568699888652e+04,3.133460882858830487e+01,1.027184354534583690e+02,2.830464259785636386e+04,2.690979901997707202e+01
1.341820640287947899e+05,4.277953282056604856e+00,1.423796542800846510e+01,1.341820640952841495e+05,3.645593817789631430e+00,1.421841547946139181e+05,2.792056480834889776e+00,9.290463020966853946e+00,1.421841548213422357e+05,2.360644020728068337e+00,2.832945292399763275e+04,2.748126435800505618e+01,9.034724597045351402e+01,2.832946591999912198e+04,2.355935881393806852e+01
1.341852458079522476e+05,3.201709828893711585e+00,1.061675284497323446e+01,1.341852458451943239e+05,2.726269808794313576e+00,1.421860447834963852e+05,1.677290966254468385e+00,5.543447460193419829e+00,1.421860447931420640e+05,1.408262482109421398e+00,2.835052105984267473e+04,2.238003742704552934e+01,7.367704915370632079e+01,2.835052967245949912e+04,1.913680155497777235e+01
1.341875419630830293e+05,2.232229976197752652e+00,7.321246890729526058e+00,1.341875419811855827e+05,1.897132206154492406e+00,1.421870853286662023e+05,8.360028395621611486e-01,2.963108591968193650e+00,1.421870853310624370e+05,6.870896003543748298e-01,2.836705851446555971e+04,1.678817929845509127e+01,5.523879978042532457e+01,2.836706335805670096e+04,1.431160244748225452e+01
1.341890235517385008e+05,1.347336303423657400e+00,4.434026284230640158e+00,1.341890235583334288e+05,1.136202506718109406e+00,1.421874780142061645e+05,3.008115585495813593e-01,1.777734166797017679e+00,1.421874780145163822e+05,2.437188107156544048e-01,2.837887588986977789e+04,1.131287439760077262e+01,3.703611640165036079e+01,2.837887808836408294e+04,9.592941829773826257e+00
