121118,142323,11131,-0.125,1.037,0.113,1.28,1.646,0.549,174.672
121103,142196,9298,-0.122,1.041,0.125,1.28,1.646,0.549,174.675
121103,142306,11140,-0.124,1.034,0.133,1.098,0.854,0,174.682
121119,142196,9298,-0.119,1.026,0.13,1.098,0.854,0,174.685
121119,142319,11153,-0.118,1.014,0.117,-0.732,-0.305,0.122,174.692
121128,142452,9298,-0.115,1.004,0.11,-0.732,-0.305,0.122,174.695
121128,142338,11136,-0.12,1.001,0.098,-2.866,0.793,0.976,174.701
121139,142196,9298,-0.128,1.007,0.099,-2.866,0.793,0.976,174.705
121139,142328,11141,-0.13,1.013,0.101,-2.256,1.707,1.098,174.711
121110,142196,9298,-0.13,1.022,0.12,-2.256,1.707,1.098,174.715
121110,142298,11132,-0.129,1.024,0.141,0.122,0.305,0.122,174.721
121070,142196,9298,-0.129,1.024,0.141,0.122,0.305,0.122,174.725
121070,142319,11134,-0.121,1.028,0.169,1.951,-1.28,0.122,174.731
121089,142196,9298,-0.121,1.028,0.169,1.951,-1.28,0.122,174.735
121089,142292,11141,-0.104,1.022,0.16,0.671,-1.829,0.366,174.741
121120,142196,9298,-0.104,1.022,0.16,0.671,-1.829,0.366,174.745
121120,142327,11141,-0.104,1.012,0.129,-0.915,-0.854,0.366,174.751
121124,142452,9298,-0.104,1.012,0.129,-0.915,-0.854,0.366,174.755
121124,142339,11145,-0.113,1.008,0.131,-1.28,0.793,0.244,174.761
121137,142196,9298,-0.113,1.008,0.131,-1.28,0.793,0.244,174.765
121137,142318,11143,-0.123,0.99,0.121,0.183,1.402,0.183,174.771
121143,142452,9298,-0.123,0.99,0.121,0.183,1.402,0.183,174.774
121143,142350,11158,-0.129,0.996,0.098,0.427,1.28,0.61,174.781
121153,142452,9298,-0.129,0.996,0.098,0.427,1.28,0.61,174.784
121153,142371,11146,-0.133,1.035,0.119,-2.561,0.915,1.098,174.791
121154,142452,9298,-0.133,1.035,0.119,-2.561,0.915,1.098,174.794
121154,142372,11135,-0.125,1.034,0.142,-1.585,-0.61,1.098,174.8
121176,142452,9298,-0.125,1.034,0.142,-1.585,-0.61,1.098,174.804
121176,142379,11179,-0.111,1.016,0.137,-0.244,-1.646,0.854,174.81
121166,142452,9298,-0.111,1.016,0.137,-0.244,-1.646,0.854,174.814
121166,142353,11151,-0.111,1.02,0.159,-1.585,-0.976,0.732,174.82
121120,142196,9298,-0.111,1.02,0.159,-1.585,-0.976,0.732,174.824
121120,142319,11149,-0.102,0.999,0.17,0.793,-0.366,0.366,174.83
121146,142452,9298,-0.102,0.999,0.17,0.793,-0.366,0.366,174.834
121146,142365,11144,-0.107,1.009,0.15,2.927,0.305,0.061,174.84
121124,142196,9298,-0.107,1.009,0.15,2.927,0.305,0.061,174.844
121124,142319,11135,-0.113,1.005,0.12,2.317,1.768,-0.549,174.85
121147,142452,9298,-0.113,1.005,0.12,2.317,1.768,-0.549,174.854
121147,142355,11151,-0.124,1.006,0.089,0.976,2.988,0,174.86
121193,142452,9298,-0.124,1.006,0.089,0.976,2.988,0,174.864
121193,142393,11144,-0.135,1.015,0.095,0.976,2.988,0,174.87
121211,142452,9298,-0.137,1.024,0.107,-1.037,2.5,1.037,174.873
121211,142394,11172,-0.141,1.027,0.116,-1.037,2.5,1.037,174.88
121187,142452,9298,-0.135,1.024,0.121,-0.732,0.366,1.159,174.883
121187,142417,11142,-0.125,1.02,0.118,-0.732,0.366,1.159,174.889
121154,142452,9298,-0.119,1.022,0.114,-0.183,-1.402,0.854,174.893
121154,142349,11153,-0.112,1.026,0.116,-0.183,-1.402,0.854,174.899
121125,142196,9298,-0.106,1.028,0.127,-0.793,-1.341,0.671,174.903
121125,142334,11149,-0.107,1.034,0.147,-0.793,-1.341,0.671,174.909
121091,142452,9298,-0.106,1.029,0.168,0.122,-0.854,0.427,174.913
121091,142341,11139,-0.107,1.019,0.174,0.122,-0.854,0.427,174.919
121096,142196,9298,-0.112,1.012,0.163,2.073,-0.122,0,174.923
121096,142305,11158,-0.113,1.013,0.155,2.073,-0.122,0,174.929
121116,142452,9298,-0.112,1.013,0.149,0.305,0.976,-0.366,174.933
121116,142340,11142,-0.119,1.013,0.139,0.305,0.976,-0.366,174.939
121150,142452,9298,-0.122,1.006,0.124,-0.854,1.89,-0.671,174.943
121150,142370,11145,-0.119,0.997,0.103,-0.854,1.89,-0.671,174.949
121136,142196,9298,-0.122,0.992,0.082,0.122,2.073,-0.244,174.953
121136,142320,11137,-0.129,1.001,0.071,0.122,2.073,-0.244,174.959
121097,142196,9298,-0.135,1.017,0.079,-0.976,2.073,0.793,174.962
121097,142319,11154,-0.138,1.031,0.103,-0.976,2.073,0.793,174.969
